booking_id,user_id,show_id,booking_date,total_tickets,payment_status,,
BK_1,US_543,SH_6385,2025-07-26 19:40:18,2,Completed,,
BK_2,US_2440,SH_217,2024-05-31 11:52:49,1,Completed,,
BK_3,US_4022,SH_431,2025-06-05 22:58:22,2,Completed,,
BK_4,US_393,SH_6573,2024-05-11 03:39:48,1,Completed,,
BK_5,US_8593,SH_4680,2024-09-21 04:57:45,1,Completed,,
BK_6,US_1987,SH_500,2024-03-19 02:24:22,2,Completed,,
BK_7,US_9127,SH_8457,2024-09-30 23:31:54,4,Completed,,
BK_8,US_5127,SH_6467,2024-03-05 10:28:18,2,Completed,,
BK_9,US_5951,SH_365,2025-08-20 12:17:27,4,Completed,,
BK_10,US_2851,SH_2314,2025-12-28 13:57:17,1,Failed,,
BK_11,US_2505,SH_3671,2025-12-28 06:16:26,4,Completed,,
BK_12,US_7550,SH_361,2025-07-23 10:01:53,4,Completed,,
BK_13,US_737,SH_69,2024-03-22 03:47:29,4,Completed,,
BK_14,US_1212,SH_934,2025-04-29 17:29:36,2,Completed,,
BK_15,US_8432,SH_4698,2024-08-04 04:52:44,1,Completed,,
BK_16,US_6809,SH_6881,2025-01-26 08:35:18,3,Completed,,
BK_17,US_8428,SH_5468,2024-11-28 11:03:51,1,Completed,,
BK_18,US_9226,SH_7940,2024-08-03 14:45:46,2,Completed,,
BK_19,US_9018,SH_8416,2025-02-22 06:28:14,1,Completed,,
BK_20,US_4929,SH_4449,2025-11-10 21:33:50,3,Completed,,
BK_21,US_6584,SH_2846,2025-09-02 14:28:49,4,Completed,,
BK_22,US_7920,SH_350,2024-07-18 06:24:31,3,Pending,,
BK_23,US_3765,SH_3797,2024-10-15 17:30:58,2,Completed,,
BK_24,US_8324,SH_1071,2024-03-19 00:29:20,3,Completed,,
BK_25,US_3831,SH_2988,2025-11-29 07:02:45,2,Completed,,
BK_26,US_2881,SH_6188,2025-04-23 09:36:57,1,Completed,,
BK_27,US_9456,SH_3130,2025-01-08 22:07:25,4,Completed,,
