movie_id,title,genre,language,duration,rating,release_date,
MV_1,Address clear,Sci-Fi,Kannada,118,6.6,05/03/2022,
MV_2,Popular business,Comedy,Kannada,122,4.2,28/03/2022,
MV_3,Determine amount art,Sci-Fi,Bengali,130,5.1,09/09/2018,
MV_4,East,Thriller,Malayalam,98,5.3,12/07/2009,
MV_5,Ready road establish,Romance,Kannada,171,8.8,12/01/2010,
MV_6,While institution,Comedy,Tamil,137,8.2,05/04/2003,
MV_7,Arm country her,Romance,Hindi,180,7.9,28/05/2003,
MV_8,Night mind,Romance,Hindi,97,8,15/08/2022,
MV_9,Miss bit,Drama,English,111,4.8,17/06/2002,
MV_10,After there quickly matter,Romance,Hindi,130,4.3,27/08/2013,
MV_11,Wait win story,Thriller,English,106,7.2,13/06/2010,
MV_12,Parent might thank child,Romance,Hindi,156,4.2,27/12/2022,
MV_13,Important true,Action,English,137,8.1,28/04/2013,
MV_14,Exactly turn traditional,Comedy,Malayalam,128,4.6,18/10/2010,
MV_15,Day prevent,Comedy,English,144,8.3,03/02/2002,
MV_16,Far sea scientist,Horror,Tamil,103,3.3,13/01/2021,
MV_17,Seem personal,Horror,Bengali,120,5.3,24/11/2021,
MV_18,Note house,Sci-Fi,English,90,3.9,11/10/2014,
MV_19,Term read,Romance,Bengali,159,5.4,09/11/2016,
MV_20,Speak future west,Romance,Tamil,149,6,29/12/2022,
MV_21,Defense investment,Drama,Telugu,114,5.5,23/09/2011,
MV_22,Know account analysis,Comedy,Bengali,90,7.8,03/12/2007,
MV_23,Cold trip,Romance,Telugu,158,8.2,04/04/2005,
MV_24,Statement wrong why,Comedy,Tamil,162,6.6,14/06/2005,
MV_25,Break feel others,Action,Tamil,150,7.9,23/06/2001,
MV_26,Nearly population give class,Sci-Fi,Malayalam,106,7.8,12/12/2002,
MV_27,Suddenly choice result,Action,Kannada,91,7.4,30/07/2023,
MV_28,Store,Sci-Fi,Telugu,171,6.1,12/03/2021,
MV_29,Ever small,Thriller,Bengali,148,6.9,11/07/2012,
MV_30,Exist,Comedy,Tamil,118,5.3,02/10/2020,
MV_31,Building dinner recognize,Horror,Telugu,161,6.7,14/06/2007,
MV_32,Head increase big,Thriller,English,111,7.9,08/02/2004,
MV_33,Increase toward tell,Sci-Fi,Kannada,151,6.8,31/03/2010,
MV_34,Mouth attack,Drama,English,150,8.8,12/09/2004,
MV_35,Important true,Romance,English,150,7.5,08/07/2005,
MV_36,Attack technology,Thriller,Hindi,148,5.1,26/02/2007,
MV_37,Stuff even,Drama,Telugu,104,8.1,02/05/2017,
MV_38,Degree voice challenge,Comedy,Malayalam,105,7.9,02/01/2016,
MV_39,Would teacher,Romance,Telugu,154,4.4,09/10/2019,
MV_40,Born dream,Sci-Fi,Telugu,127,8.1,13/11/2013,
MV_41,Six traditional minute,Thriller,Tamil,107,8.4,22/05/2017,
MV_42,Activity very international,Comedy,Tamil,130,8.2,30/04/2000,
MV_43,Sit not reduce,Comedy,Malayalam,106,6.9,28/09/2009,
MV_44,Man,Romance,Kannada,178,7.3,27/07/2002,
MV_45,Sometimes western whom,Thriller,Bengali,151,3.8,18/11/2005,
MV_46,Challenge know impact media,Comedy,Telugu,173,3.1,13/07/2009,
MV_47,Campaign group help,Romance,Telugu,154,5.2,17/10/2004,
MV_48,Financial stage word,Drama,Telugu,139,5.7,17/12/2005,
MV_49,Attack technology,Drama,Tamil,115,4,28/03/2003,
MV_50,Everyone medical,Comedy,Malayalam,90,6.9,13/12/2021,
MV_51,Civil itself second,Action,Telugu,167,6.4,04/09/2023,
MV_52,Degree art already,Action,Malayalam,97,4.6,30/01/2005,
MV_53,Central sing tough,Drama,Telugu,91,8,01/02/2020,
MV_54,Activity very international,Horror,Tamil,146,6.1,04/10/2000,
MV_55,Show language,Comedy,English,100,5.4,01/11/2013,
MV_56,Research send consider,Horror,Telugu,108,8.3,21/12/2007,
MV_57,Guess prevent condition,Sci-Fi,Bengali,99,6.9,19/12/2010,
MV_58,Guy work night season,Sci-Fi,Hindi,96,4.6,21/04/2006,
MV_59,Meeting sometimes,Horror,Telugu,108,8.3,26/02/2022,
MV_60,Four,Comedy,Tamil,125,4.4,12/02/2014,
MV_61,Know support history,Romance,Telugu,108,7.8,04/08/2023,
MV_62,Activity very international,Horror,Kannada,114,5.1,14/02/2004,
MV_63,After there quickly matter,Horror,English,127,6.3,24/07/2003,
MV_64,Nearly perhaps worker,Drama,Tamil,176,8.7,29/11/2023,
MV_65,Challenge know impact media,Thriller,Bengali,127,7.6,29/03/2014,
MV_66,Also result type,Horror,Tamil,152,5.9,25/06/2007,
MV_67,Piece factor score make,Sci-Fi,English,117,3,31/01/2001,
MV_68,Begin size,Action,English,176,4.4,05/08/2018,
MV_69,Section quickly whom,Drama,Telugu,96,4.3,22/10/2009,
MV_70,Television to,Action,Hindi,134,7.4,02/02/2001,
MV_71,People source,Action,Tamil,174,5.2,27/09/2011,
MV_72,Hundred opportunity not,Sci-Fi,Tamil,151,5.4,21/03/2005,
MV_73,Night mind,Horror,Kannada,178,4.1,03/02/2017,
MV_74,Bring,Sci-Fi,Hindi,174,7.3,08/06/2015,
MV_75,Hour so number,Thriller,Telugu,147,3.7,04/11/2005,
MV_76,Wait win story,Romance,Hindi,150,5.4,05/05/2020,
MV_77,Building dinner recognize,Comedy,English,102,5.3,06/07/2007,
MV_78,Meeting sometimes,Drama,Malayalam,169,8.9,10/10/2017,
MV_79,Determine evidence,Sci-Fi,Kannada,144,6.1,05/01/2004,
MV_80,No its,Comedy,Telugu,105,7.2,13/08/2004,
MV_81,Four far,Horror,Tamil,176,4.7,07/06/2000,
MV_82,Four increase my,Comedy,Malayalam,164,7.7,09/06/2015,
MV_83,Crime against unit,Thriller,Telugu,164,5.8,07/02/2010,
MV_84,Four increase my,Drama,Malayalam,170,5.8,06/05/2004,
MV_85,Box choice course,Thriller,Hindi,150,3.3,27/11/2001,
MV_86,Itself deal daughter,Action,Telugu,103,7.8,31/10/2000,
MV_87,About they note,Romance,Telugu,138,4.6,11/02/2003,
MV_88,Century,Sci-Fi,English,136,5.1,14/08/2020,
MV_89,Election feel,Romance,English,180,7.3,11/02/2008,
MV_90,Town mission,Romance,Kannada,168,5.3,12/07/2014,
MV_91,Lawyer call visit,Comedy,Malayalam,145,4.1,21/11/2002,
MV_92,Because rise forget,Horror,Kannada,134,8.9,11/02/2010,
MV_93,Shake garden term,Horror,Tamil,141,4.5,21/10/2017,
MV_94,Meeting radio American,Action,Hindi,141,3.2,15/08/2007,
MV_95,Friend speech,Comedy,Malayalam,148,3.6,01/01/2007,
MV_96,Century,Drama,Kannada,142,7.8,29/09/2008,
MV_97,Enjoy task television,Thriller,Telugu,127,8.3,21/10/2000,
MV_98,Help including,Romance,Hindi,95,5.4,16/05/2003,
MV_99,Down whole,Action,Tamil,167,6.1,28/08/2009,
MV_100,Increase toward tell,Drama,Hindi,168,8.2,17/02/2020,
MV_101,Quite spring enter,Horror,English,177,5.7,08/06/2001,
MV_102,More will,Drama,Kannada,138,6.5,03/12/2007,
MV_103,Look laugh suggest admit,Sci-Fi,Tamil,157,4.2,04/05/2001,
MV_104,Pass guess father,Comedy,Malayalam,120,8.3,30/01/2004,
MV_105,Civil itself second,Action,Telugu,114,8.5,25/12/2013,
MV_106,Employee lead not,Thriller,Kannada,126,5.8,21/03/2000,
MV_107,Crime,Drama,English,124,6.9,09/05/2003,
MV_108,Event glass I,Romance,Hindi,92,4.6,08/06/2012,
MV_109,End two,Sci-Fi,Tamil,92,8.9,30/05/2017,
MV_110,Information although,Drama,Tamil,168,7.7,20/05/2017,
MV_111,History those participant,Drama,English,136,8.4,11/09/2003,
MV_112,We,Drama,Hindi,109,8.2,06/08/2010,
MV_113,Statement wrong why,Thriller,Malayalam,110,7.5,28/01/2018,
MV_114,Also result type,Sci-Fi,Hindi,126,4.5,10/08/2001,
MV_115,See recently nation,Romance,Telugu,107,8.1,16/11/2020,
MV_116,Cover recent,Drama,Telugu,176,8.7,21/03/2022,
MV_117,Inside he friend,Drama,Kannada,138,8.4,29/05/2006,
MV_118,Easy property wind,Action,Hindi,177,4.2,08/01/2022,
MV_119,Challenge affect recognize,Comedy,Telugu,136,7.7,11/01/2007,
MV_120,Enter newspaper,Drama,Tamil,115,6.7,18/08/2001,
MV_121,More will,Action,Hindi,148,4.6,30/08/2012,
MV_122,Low,Romance,English,169,5,07/05/2016,
MV_123,Town mission,Horror,Bengali,115,3.9,06/03/2002,
MV_124,Show language,Thriller,Tamil,178,3.3,27/04/2000,
MV_125,Fire around,Romance,Malayalam,113,8.7,19/06/2019,
MV_126,Despite hot collection,Thriller,Tamil,106,6.5,07/03/2009,
MV_127,Exactly turn traditional,Thriller,Malayalam,101,7.9,27/09/2015,
MV_128,Network from,Horror,Malayalam,164,3.4,04/04/2010,
MV_129,Can,Horror,Bengali,99,8.3,23/10/2010,
MV_130,Police moment recently,Horror,Malayalam,123,3.1,11/04/2009,
MV_131,Idea,Drama,Bengali,121,6.8,03/04/2016,
MV_132,Around sound,Thriller,Malayalam,169,5.6,22/03/2001,
MV_133,Information city whether,Drama,Bengali,180,5.9,09/01/2005,
