payment_id,booking_id,user_id,payment_method,payment_date,transaction_status,,
PMT_1,BK_1,US_543,Credit Card,2025-07-26 19:40:18,Success,,
PMT_2,BK_2,US_2440,Debit Card,2024-05-31 11:52:49,Failed,,
PMT_3,BK_3,US_4022,Wallet,2025-06-05 22:58:22,Success,,
PMT_4,BK_4,US_393,Wallet,2024-05-11 03:39:48,Success,,
PMT_5,BK_5,US_8593,Wallet,2024-09-21 04:57:45,Success,,
PMT_6,BK_6,US_1987,UPI,2024-03-19 02:24:22,Success,,
PMT_7,BK_7,US_9127,Net Banking,2024-09-30 23:31:54,Success,,
PMT_8,BK_8,US_5127,Net Banking,2024-03-05 10:28:18,Success,,
PMT_9,BK_9,US_5951,Debit Card,2025-08-20 12:17:27,Failed,,
PMT_10,BK_10,US_2851,Wallet,2025-12-28 13:57:17,Success,,
PMT_11,BK_11,US_2505,Net Banking,2025-12-28 06:16:26,Refunded,,
PMT_12,BK_12,US_7550,Debit Card,2025-07-23 10:01:53,Failed,,
PMT_13,BK_13,US_737,Credit Card,2024-03-22 03:47:29,Success,,
PMT_14,BK_14,US_1212,Credit Card,2025-04-29 17:29:36,Success,,
PMT_15,BK_15,US_8432,Wallet,2024-08-04 04:52:44,Success,,
PMT_16,BK_16,US_6809,Debit Card,2025-01-26 08:35:18,Failed,,
PMT_17,BK_17,US_8428,Credit Card,2024-11-28 11:03:51,Success,,
PMT_18,BK_18,US_9226,UPI,2024-08-03 14:45:46,Success,,
PMT_19,BK_19,US_9018,Wallet,2025-02-22 06:28:14,Success,,
PMT_20,BK_20,US_4929,UPI,2025-11-10 21:33:50,Success,,
PMT_21,BK_21,US_6584,UPI,2025-09-02 14:28:49,Success,,
PMT_22,BK_22,US_7920,Wallet,2024-07-18 06:24:31,Success,,
PMT_23,BK_23,US_3765,Wallet,2024-10-15 17:30:58,Success,,
PMT_24,BK_24,US_8324,Wallet,2024-03-19 00:29:20,Refunded,,
PMT_25,BK_25,US_3831,UPI,2025-11-29 07:02:45,Success,,
PMT_26,BK_26,US_2881,Credit Card,2025-04-23 09:36:57,Success,,
PMT_27,BK_27,US_9456,Wallet,2025-01-08 22:07:25,Refunded,,
PMT_28,BK_28,US_5773,UPI,2025-10-01 06:54:55,Failed,,
