seat_id,booking_id,screen_id,seat_number,seat_type,charges,status,,
ST_1,BK_9384,SC_666,B18,VIP,50,Available,,
ST_2,BK_8532,SC_631,E6,Regular,10,Booked,,
ST_3,BK_8387,SC_820,A8,Regular,10,Reserved,,
ST_4,BK_1547,SC_23,D19,Regular,10,Available,,
ST_5,BK_3569,SC_206,C10,VIP,50,Booked,,
ST_6,BK_3194,SC_293,B16,Regular,10,Available,,
ST_7,BK_9252,SC_720,A11,Premium,25,Available,,
ST_8,BK_6712,SC_720,A18,Premium,25,Available,,
ST_9,BK_3078,SC_504,A20,Premium,25,Booked,,
ST_10,BK_6810,SC_458,B9,Regular,10,Booked,,
ST_11,BK_9064,SC_734,D3,Regular,10,Booked,,
ST_12,BK_2081,SC_78,D8,Premium,25,Available,,
ST_13,BK_5194,SC_447,E19,Regular,10,Booked,,
ST_14,BK_6676,SC_786,D7,Premium,25,Booked,,
ST_15,BK_1453,SC_736,D12,Regular,10,Booked,,
ST_16,BK_1853,SC_594,E4,Regular,10,Reserved,,
ST_17,BK_7614,SC_575,A14,Regular,10,Booked,,
ST_18,BK_4019,SC_920,B6,Premium,25,Booked,,
ST_19,BK_3516,SC_778,C12,Premium,25,Available,,
ST_20,BK_6091,SC_345,D4,Premium,25,Booked,,
ST_21,BK_5418,SC_151,A11,Regular,10,Reserved,,
ST_22,BK_6175,SC_979,C12,VIP,50,Booked,,
ST_23,BK_9858,SC_351,B18,Regular,10,Booked,,
ST_24,BK_887,SC_406,E19,Premium,25,Booked,,
ST_25,BK_1531,SC_458,C9,Regular,10,Booked,,
ST_26,BK_4981,SC_96,A7,Regular,10,Booked,,
ST_27,BK_1142,SC_648,E17,Premium,25,Booked,,
ST_28,BK_5114,SC_98,E15,Regular,10,Booked,,
ST_29,BK_9192,SC_755,A6,Premium,25,Reserved,,
ST_30,BK_2903,SC_237,E20,Regular,10,Reserved,,
ST_31,BK_8381,SC_136,C13,Regular,10,Booked,,
ST_32,BK_8435,SC_939,E15,Regular,10,Reserved,,
ST_33,BK_5174,SC_64,C6,Regular,10,Booked,,
ST_34,BK_9915,SC_867,C9,Regular,10,Available,,
ST_35,BK_1545,SC_445,B15,Regular,10,Available,,
ST_36,BK_4907,SC_859,A18,VIP,50,Booked,,
ST_37,BK_88,SC_439,C8,Regular,10,Booked,,
ST_38,BK_1770,SC_109,B2,Regular,10,Booked,,
ST_39,BK_5042,SC_293,C16,Premium,25,Available,,
ST_40,BK_6078,SC_67,C9,Regular,10,Booked,,
ST_41,BK_5863,SC_307,D8,Regular,10,Booked,,
ST_42,BK_3661,SC_333,D6,Premium,25,Reserved,,
ST_43,BK_984,SC_420,E11,Regular,10,Booked,,
ST_44,BK_4487,SC_611,C18,Premium,25,Reserved,,
ST_45,BK_781,SC_930,A2,Regular,10,Booked,,
ST_46,BK_4682,SC_720,C19,Regular,10,Booked,,
ST_47,BK_5969,SC_204,E17,Regular,10,Booked,,
ST_48,BK_5333,SC_869,E13,Regular,10,Available,,
ST_49,BK_3099,SC_825,B5,Regular,10,Booked,,
ST_50,BK_5599,SC_673,A13,Regular,10,Reserved,,
ST_51,BK_4357,SC_93,E10,Regular,10,Booked,,
ST_52,BK_7137,SC_215,E8,Regular,10,Booked,,
ST_53,BK_9051,SC_676,D2,Regular,10,Booked,,
ST_54,BK_8513,SC_705,E15,Premium,25,Booked,,
ST_55,BK_2365,SC_395,B2,Regular,10,Available,,
ST_56,BK_7277,SC_804,D10,Premium,25,Booked,,
ST_57,BK_9026,SC_929,C11,Premium,25,Booked,,
ST_58,BK_6223,SC_247,B1,Regular,10,Booked,,
ST_59,BK_4326,SC_91,E18,Regular,10,Booked,,
ST_60,BK_8398,SC_298,E4,Regular,10,Available,,
ST_61,BK_7546,SC_206,D20,VIP,50,Booked,,
ST_62,BK_2256,SC_447,C7,Premium,25,Booked,,
ST_63,BK_8514,SC_407,D19,Premium,25,Available,,
ST_64,BK_8410,SC_171,B8,Regular,10,Available,,
ST_65,BK_433,SC_654,E2,Regular,10,Booked,,
ST_66,BK_4325,SC_578,C11,Premium,25,Available,,
ST_67,BK_6424,SC_204,E3,Regular,10,Available,,
ST_68,BK_4267,SC_846,E6,Regular,10,Available,,
ST_69,BK_7963,SC_939,E10,Regular,10,Booked,,
ST_70,BK_9456,SC_305,A15,Premium,25,Booked,,
ST_71,BK_979,SC_565,B9,Regular,10,Available,,
ST_72,BK_2532,SC_12,B10,Premium,25,Booked,,
ST_73,BK_1960,SC_129,E7,Regular,10,Booked,,
ST_74,BK_6516,SC_11,D16,Premium,25,Booked,,
ST_75,BK_920,SC_278,B7,Regular,10,Booked,,
ST_76,BK_7680,SC_365,C15,Regular,10,Booked,,
ST_77,BK_6131,SC_576,B10,Regular,10,Booked,,
ST_78,BK_1734,SC_700,C17,Premium,25,Booked,,
ST_79,BK_6292,SC_141,C9,Regular,10,Booked,,
ST_80,BK_2097,SC_575,B3,Regular,10,Reserved,,
ST_81,BK_7827,SC_224,B3,VIP,50,Reserved,,
ST_82,BK_2481,SC_331,C20,Regular,10,Booked,,
ST_83,BK_822,SC_91,A15,VIP,50,Booked,,
ST_84,BK_9908,SC_379,E9,Regular,10,Available,,
ST_85,BK_1576,SC_858,B4,Premium,25,Reserved,,
