show_id,movie_id,theater_id,screen_id,show_date,start_time,price_per_ticket,available_seats,,
SH_1,MV_2044,TH_489,SC_148,2024-04-06,22:30:00,174.34,139,,
SH_2,MV_7789,TH_291,SC_908,2025-01-26,17:15:00,241.59,100,,
SH_3,MV_4143,TH_364,SC_195,2023-05-19,17:30:00,438.29,158,,
SH_4,MV_905,TH_257,SC_303,2024-07-26,14:30:00,459.39,179,,
SH_5,MV_1508,TH_288,SC_101,2025-02-10,17:15:00,416.48,195,,
SH_6,MV_2162,TH_219,SC_36,2024-05-18,21:15:00,388.59,134,,
SH_7,MV_571,TH_454,SC_663,2024-01-19,18:15:00,267.64,180,,
SH_8,MV_5483,TH_214,SC_757,2025-05-27,21:15:00,496.43,171,,
SH_9,MV_2040,TH_499,SC_512,2023-04-04,20:30:00,406.38,60,,
SH_10,MV_859,TH_452,SC_699,2024-04-06,19:45:00,304.13,197,,
SH_11,MV_6350,TH_451,SC_232,2024-08-31,20:00:00,234.85,168,,
SH_12,MV_7365,TH_383,SC_588,2023-04-23,22:00:00,270.7,159,,
SH_13,MV_7264,TH_401,SC_50,2024-05-11,10:45:00,423.47,74,,
SH_14,MV_9537,TH_258,SC_622,2025-12-18,13:15:00,150.02,194,,
SH_15,MV_7266,TH_307,SC_2,2024-08-16,15:30:00,490.76,81,,
SH_16,MV_514,TH_358,SC_638,2024-07-17,14:15:00,361.44,182,,
SH_17,MV_5416,TH_383,SC_212,2023-02-19,12:30:00,313.9,176,,
SH_18,MV_3746,TH_99,SC_522,2024-07-21,16:15:00,265.06,186,,
SH_19,MV_6995,TH_388,SC_111,2025-09-15,22:45:00,461.07,192,,
SH_20,MV_4140,TH_50,SC_220,2023-11-04,21:15:00,381.14,114,,
SH_21,MV_526,TH_107,SC_650,2024-06-02,15:00:00,216.3,82,,
SH_22,MV_5442,TH_381,SC_177,2023-01-04,17:30:00,244.71,176,,
SH_23,MV_5053,TH_136,SC_12,2024-02-18,11:45:00,448.07,143,,
SH_24,MV_9089,TH_386,SC_714,2024-03-27,18:00:00,471.59,64,,
SH_25,MV_9331,TH_227,SC_177,2025-08-02,13:15:00,473.11,101,,
SH_26,MV_1791,TH_344,SC_655,2023-09-07,10:45:00,183.29,88,,
SH_27,MV_6903,TH_355,SC_166,2025-06-04,18:30:00,254.37,144,,
SH_28,MV_3240,TH_421,SC_96,2023-05-08,21:15:00,296.62,160,,
SH_29,MV_3226,TH_139,SC_6,2023-09-07,13:00:00,152.28,126,,
SH_30,MV_2961,TH_24,SC_451,2024-03-11,22:45:00,330.52,92,,
SH_31,MV_3529,TH_218,SC_507,2023-11-19,19:45:00,419.64,55,,
SH_32,MV_3832,TH_112,SC_454,2025-11-23,14:45:00,371.27,170,,
SH_33,MV_7024,TH_196,SC_526,2023-10-21,18:00:00,327.97,164,,
SH_34,MV_7795,TH_444,SC_959,2025-10-05,12:30:00,273.52,84,,
SH_35,MV_4316,TH_453,SC_620,2024-11-29,11:00:00,431.93,167,,
SH_36,MV_6902,TH_281,SC_649,2025-01-25,16:30:00,263.96,101,,
SH_37,MV_4120,TH_352,SC_110,2023-09-10,22:15:00,171.47,183,,
SH_38,MV_2734,TH_443,SC_115,2025-07-10,19:00:00,417.91,133,,
SH_39,MV_959,TH_415,SC_88,2023-07-07,21:15:00,418.25,80,,
SH_40,MV_4372,TH_262,SC_403,2023-10-22,18:15:00,167.07,129,,
SH_41,MV_8793,TH_114,SC_410,2024-02-09,10:30:00,245.2,102,,
SH_42,MV_8031,TH_461,SC_83,2025-11-06,21:45:00,291.86,185,,
SH_43,MV_6936,TH_488,SC_749,2023-04-17,11:00:00,498.21,74,,
SH_44,MV_6968,TH_486,SC_623,2023-08-22,14:30:00,314.16,79,,
SH_45,MV_2274,TH_500,SC_147,2024-11-22,21:15:00,408.44,197,,
SH_46,MV_2449,TH_149,SC_54,2025-05-15,21:45:00,273.82,164,,
SH_47,MV_6920,TH_431,SC_418,2023-04-01,11:30:00,233.68,108,,
SH_48,MV_8165,TH_97,SC_109,2023-02-02,21:15:00,235.05,76,,
SH_49,MV_1550,TH_179,SC_944,2025-08-23,20:45:00,381.21,114,,
SH_50,MV_1209,TH_156,SC_772,2024-12-14,20:45:00,454.09,118,,
SH_51,MV_9092,TH_278,SC_43,2023-03-26,22:45:00,177.88,107,,
SH_52,MV_4072,TH_334,SC_803,2025-07-02,19:30:00,415.87,58,,
SH_53,MV_8621,TH_309,SC_694,2025-11-30,10:15:00,406.44,56,,
SH_54,MV_8068,TH_477,SC_200,2024-03-09,20:45:00,475.27,137,,
SH_55,MV_5088,TH_274,SC_81,2023-06-18,12:15:00,357.15,52,,
SH_56,MV_9058,TH_261,SC_555,2023-07-12,21:45:00,419.33,108,,
SH_57,MV_2670,TH_408,SC_195,2024-09-09,22:45:00,291.09,171,,
SH_58,MV_5732,TH_225,SC_764,2024-01-12,15:30:00,486.56,73,,
SH_59,MV_2617,TH_344,SC_945,2024-08-22,12:45:00,474.47,58,,
SH_60,MV_5206,TH_314,SC_931,2023-09-27,10:00:00,255,185,,
SH_61,MV_2860,TH_431,SC_715,2024-11-22,21:30:00,286.26,142,,
SH_62,MV_4046,TH_118,SC_64,2024-08-01,12:00:00,463.86,102,,
SH_63,MV_5687,TH_442,SC_767,2025-02-19,15:00:00,257.56,88,,
SH_64,MV_2745,TH_250,SC_327,2023-03-11,17:15:00,405.39,191,,
SH_65,MV_3972,TH_253,SC_186,2023-07-02,17:45:00,244.69,51,,
SH_66,MV_2481,TH_433,SC_919,2025-02-27,12:15:00,288.62,133,,
SH_67,MV_963,TH_300,SC_445,2024-11-05,18:15:00,428.54,72,,
SH_68,MV_4912,TH_44,SC_364,2023-04-10,14:45:00,354.52,174,,
SH_69,MV_8477,TH_483,SC_389,2024-04-06,17:30:00,394.91,110,,
SH_70,MV_3849,TH_441,SC_916,2025-01-15,20:15:00,438.62,68,,
SH_71,MV_4321,TH_33,SC_272,2024-02-21,21:45:00,220.77,125,,
SH_72,MV_9258,TH_391,SC_175,2025-08-01,22:45:00,327.6,59,,
SH_73,MV_3962,TH_331,SC_31,2024-01-08,19:15:00,329.36,195,,
SH_74,MV_8838,TH_102,SC_368,2024-07-28,18:00:00,403.08,191,,
SH_75,MV_6123,TH_365,SC_676,2023-03-12,16:30:00,363.89,172,,
SH_76,MV_370,TH_427,SC_392,2024-01-12,22:00:00,279.98,127,,
SH_77,MV_8254,TH_15,SC_989,2025-06-17,17:15:00,237.62,55,,
SH_78,MV_2224,TH_11,SC_760,2024-11-07,22:15:00,221.16,136,,
SH_79,MV_5342,TH_22,SC_929,2024-08-31,15:45:00,485.84,123,,
SH_80,MV_2761,TH_99,SC_827,2025-01-31,16:15:00,210.93,101,,
SH_81,MV_1370,TH_8,SC_711,2025-12-28,15:00:00,483.57,197,,
SH_82,MV_6068,TH_105,SC_998,2023-07-28,11:00:00,470.81,101,,
SH_83,MV_6784,TH_331,SC_113,2024-05-30,19:45:00,216.91,84,,
SH_84,MV_3599,TH_124,SC_461,2023-05-16,12:45:00,366.13,158,,
SH_85,MV_1737,TH_35,SC_775,2024-10-26,10:15:00,389.48,146,,
SH_86,MV_5406,TH_287,SC_351,2023-09-19,11:15:00,487.11,179,,
SH_87,MV_4758,TH_187,SC_577,2024-01-06,22:30:00,273.09,92,,
SH_88,MV_5755,TH_315,SC_961,2024-07-22,16:45:00,478.23,95,,
SH_89,MV_6646,TH_154,SC_796,2025-10-16,15:00:00,318.18,124,,
