theater_id,name,location,city,state,,,
TH_1,PVR Cinemas,Mangalore 101,Mangalore,Karnataka,,,
TH_2,Carnival Cinemas,Nagpur 247,Nagpur,Maharashtra,,,
TH_3,Cinepolis,Rajkot 160,Rajkot,Gujarat,,,
TH_4,Wave Cinemas,Ajmer 379,Ajmer,Rajasthan,,,
TH_5,Cinepolis,Jaipur 377,Jaipur,Rajasthan,,,
TH_6,INOX,Bhagalpur 228,Bhagalpur,Bihar,,,
TH_7,Cinepolis,Gaya 94,Gaya,Bihar,,,
TH_8,Miraj Cinemas,Gaya 14,Gaya,Bihar,,,
TH_9,Wave Cinemas,Bathinda 308,Bathinda,Punjab,,,
TH_10,Carnival Cinemas,Jalandhar 301,Jalandhar,Punjab,,,
TH_11,Cinepolis,Muzaffarpur 188,Muzaffarpur,Bihar,,,
TH_12,Miraj Cinemas,Bhagalpur 456,Bhagalpur,Bihar,,,
TH_13,Miraj Cinemas,Ujjain 296,Ujjain,Madhya Pradesh,,,
TH_14,Wave Cinemas,Belgaum 2,Belgaum,Karnataka,,,
TH_15,PVR Cinemas,Ludhiana 232,Ludhiana,Punjab,,,
TH_16,PVR Cinemas,Howrah 244,Howrah,West Bengal,,,
TH_17,PVR Cinemas,Mysore 142,Mysore,Karnataka,,,
TH_18,Miraj Cinemas,Varanasi 142,Varanasi,Uttar Pradesh,,,
TH_19,Wave Cinemas,Gaya 419,Gaya,Bihar,,,
TH_20,Miraj Cinemas,Bathinda 451,Bathinda,Punjab,,,
TH_21,Miraj Cinemas,Kota 90,Kota,Rajasthan,,,
TH_22,Cinepolis,Amritsar 315,Amritsar,Punjab,,,
TH_23,INOX,Salem 352,Salem,Tamil Nadu,,,
TH_24,Carnival Cinemas,Asansol 238,Asansol,West Bengal,,,
TH_25,Miraj Cinemas,Patna 73,Patna,Bihar,,,
TH_26,Wave Cinemas,Asansol 5,Asansol,West Bengal,,,
TH_27,INOX,Agra 253,Agra,Uttar Pradesh,,,
TH_28,Miraj Cinemas,Chennai 405,Chennai,Tamil Nadu,,,
TH_29,PVR Cinemas,Jaipur 182,Jaipur,Rajasthan,,,
TH_30,Carnival Cinemas,Patna 351,Patna,Bihar,,,
TH_31,Carnival Cinemas,Bhagalpur 199,Bhagalpur,Bihar,,,
TH_32,PVR Cinemas,Kolkata 410,Kolkata,West Bengal,,,
TH_33,Carnival Cinemas,Jabalpur 20,Jabalpur,Madhya Pradesh,,,
TH_34,Cinepolis,Gwalior 300,Gwalior,Madhya Pradesh,,,
TH_35,INOX,Mumbai 33,Mumbai,Maharashtra,,,
TH_36,INOX,Nashik 175,Nashik,Maharashtra,,,
TH_37,Wave Cinemas,Jaipur 67,Jaipur,Rajasthan,,,
TH_38,Cinepolis,Patiala 420,Patiala,Punjab,,,
TH_39,Wave Cinemas,Nagpur 316,Nagpur,Maharashtra,,,
TH_40,Cinepolis,Salem 412,Salem,Tamil Nadu,,,
TH_41,INOX,Bathinda 80,Bathinda,Punjab,,,
TH_42,PVR Cinemas,Jabalpur 189,Jabalpur,Madhya Pradesh,,,
TH_43,Carnival Cinemas,Varanasi 162,Varanasi,Uttar Pradesh,,,
TH_44,Cinepolis,Bathinda 340,Bathinda,Punjab,,,
TH_45,INOX,Ujjain 326,Ujjain,Madhya Pradesh,,,
TH_46,Wave Cinemas,Siliguri 492,Siliguri,West Bengal,,,
TH_47,Carnival Cinemas,Varanasi 487,Varanasi,Uttar Pradesh,,,
TH_48,Wave Cinemas,Bangalore 340,Bangalore,Karnataka,,,
TH_49,Miraj Cinemas,Hubli 34,Hubli,Karnataka,,,
TH_50,Cinepolis,Jaipur 223,Jaipur,Rajasthan,,,
TH_51,INOX,Asansol 348,Asansol,West Bengal,,,
TH_52,INOX,Ludhiana 161,Ludhiana,Punjab,,,
TH_53,INOX,Lucknow 354,Lucknow,Uttar Pradesh,,,
TH_54,Cinepolis,Surat 57,Surat,Gujarat,,,
TH_55,PVR Cinemas,Durgapur 50,Durgapur,West Bengal,,,
TH_56,Miraj Cinemas,Pune 61,Pune,Maharashtra,,,
TH_57,PVR Cinemas,Agra 61,Agra,Uttar Pradesh,,,
TH_58,Carnival Cinemas,Mysore 257,Mysore,Karnataka,,,
TH_59,Carnival Cinemas,Salem 68,Salem,Tamil Nadu,,,
TH_60,INOX,Kanpur 431,Kanpur,Uttar Pradesh,,,
TH_61,Wave Cinemas,Jalandhar 108,Jalandhar,Punjab,,,
TH_62,Wave Cinemas,Coimbatore 222,Coimbatore,Tamil Nadu,,,
TH_63,Miraj Cinemas,Chennai 337,Chennai,Tamil Nadu,,,
TH_64,Miraj Cinemas,Madurai 17,Madurai,Tamil Nadu,,,
TH_65,Carnival Cinemas,Hubli 418,Hubli,Karnataka,,,
TH_66,Carnival Cinemas,Tiruchirappalli 30,Tiruchirappalli,Tamil Nadu,,,
TH_67,Miraj Cinemas,Ludhiana 294,Ludhiana,Punjab,,,
TH_68,INOX,Salem 385,Salem,Tamil Nadu,,,
TH_69,PVR Cinemas,Vadodara 349,Vadodara,Gujarat,,,
TH_70,Wave Cinemas,Asansol 133,Asansol,West Bengal,,,
TH_71,Cinepolis,Bangalore 307,Bangalore,Karnataka,,,
TH_72,PVR Cinemas,Coimbatore 102,Coimbatore,Tamil Nadu,,,
TH_73,Carnival Cinemas,Kanpur 143,Kanpur,Uttar Pradesh,,,
TH_74,Miraj Cinemas,Chennai 370,Chennai,Tamil Nadu,,,
TH_75,Cinepolis,Ujjain 5,Ujjain,Madhya Pradesh,,,
TH_76,Wave Cinemas,Indore 304,Indore,Madhya Pradesh,,,
TH_77,PVR Cinemas,Mangalore 78,Mangalore,Karnataka,,,
TH_78,Miraj Cinemas,Patiala 13,Patiala,Punjab,,,
TH_79,PVR Cinemas,Agra 205,Agra,Uttar Pradesh,,,
TH_80,INOX,Pune 276,Pune,Maharashtra,,,
TH_81,INOX,Chennai 409,Chennai,Tamil Nadu,,,
TH_82,PVR Cinemas,Patna 69,Patna,Bihar,,,
TH_83,Cinepolis,Bhopal 212,Bhopal,Madhya Pradesh,,,
TH_84,Cinepolis,Madurai 306,Madurai,Tamil Nadu,,,
TH_85,INOX,Jabalpur 428,Jabalpur,Madhya Pradesh,,,
TH_86,Cinepolis,Bhagalpur 191,Bhagalpur,Bihar,,,
TH_87,Wave Cinemas,Bathinda 230,Bathinda,Punjab,,,
TH_88,INOX,Nashik 453,Nashik,Maharashtra,,,
TH_89,Miraj Cinemas,Jaipur 83,Jaipur,Rajasthan,,,
TH_90,INOX,Ujjain 451,Ujjain,Madhya Pradesh,,,
TH_91,Miraj Cinemas,Patna 334,Patna,Bihar,,,
TH_92,Cinepolis,Nagpur 390,Nagpur,Maharashtra,,,
TH_93,Carnival Cinemas,Mumbai 327,Mumbai,Maharashtra,,,
TH_94,PVR Cinemas,Mangalore 234,Mangalore,Karnataka,,,
TH_95,Carnival Cinemas,Lucknow 241,Lucknow,Uttar Pradesh,,,
TH_96,Carnival Cinemas,Mysore 10,Mysore,Karnataka,,,
TH_97,INOX,Kota 472,Kota,Rajasthan,,,
TH_98,Wave Cinemas,Nagpur 496,Nagpur,Maharashtra,,,
TH_99,Wave Cinemas,Rajkot 123,Rajkot,Gujarat,,,
TH_100,INOX,Kota 18,Kota,Rajasthan,,,
TH_101,Wave Cinemas,Bhavnagar 329,Bhavnagar,Gujarat,,,
TH_102,Miraj Cinemas,Bhagalpur 405,Bhagalpur,Bihar,,,
TH_103,INOX,Durgapur 373,Durgapur,West Bengal,,,
TH_104,Carnival Cinemas,Nashik 189,Nashik,Maharashtra,,,
TH_105,Miraj Cinemas,Amritsar 389,Amritsar,Punjab,,,
TH_106,Carnival Cinemas,Howrah 387,Howrah,West Bengal,,,
TH_107,Wave Cinemas,Bathinda 10,Bathinda,Punjab,,,
TH_108,Wave Cinemas,Varanasi 327,Varanasi,Uttar Pradesh,,,
TH_109,Miraj Cinemas,Hubli 311,Hubli,Karnataka,,,
TH_110,PVR Cinemas,Jaipur 397,Jaipur,Rajasthan,,,
TH_111,INOX,Gaya 319,Gaya,Bihar,,,
TH_112,Wave Cinemas,Purnia 141,Purnia,Bihar,,,
TH_113,Carnival Cinemas,Nagpur 498,Nagpur,Maharashtra,,,
TH_114,Cinepolis,Udaipur 319,Udaipur,Rajasthan,,,
TH_115,Cinepolis,Meerut 9,Meerut,Uttar Pradesh,,,
TH_116,Miraj Cinemas,Rajkot 113,Rajkot,Gujarat,,,
TH_117,Miraj Cinemas,Ujjain 84,Ujjain,Madhya Pradesh,,,
TH_118,Wave Cinemas,Varanasi 320,Varanasi,Uttar Pradesh,,,
TH_119,Miraj Cinemas,Amritsar 152,Amritsar,Punjab,,,
TH_120,Carnival Cinemas,Ajmer 163,Ajmer,Rajasthan,,,
TH_121,Miraj Cinemas,Varanasi 488,Varanasi,Uttar Pradesh,,,
TH_122,Miraj Cinemas,Pune 148,Pune,Maharashtra,,,
TH_123,INOX,Ujjain 219,Ujjain,Madhya Pradesh,,,
TH_124,Miraj Cinemas,Asansol 56,Asansol,West Bengal,,,
TH_125,Cinepolis,Ludhiana 28,Ludhiana,Punjab,,,
TH_126,INOX,Patiala 145,Patiala,Punjab,,,
TH_127,Carnival Cinemas,Mumbai 285,Mumbai,Maharashtra,,,
TH_128,PVR Cinemas,Surat 436,Surat,Gujarat,,,
TH_129,PVR Cinemas,Agra 35,Agra,Uttar Pradesh,,,
TH_130,Miraj Cinemas,Ujjain 17,Ujjain,Madhya Pradesh,,,
TH_131,Miraj Cinemas,Bhagalpur 52,Bhagalpur,Bihar,,,
TH_132,Cinepolis,Belgaum 135,Belgaum,Karnataka,,,
TH_133,Cinepolis,Howrah 498,Howrah,West Bengal,,,
TH_134,Carnival Cinemas,Ludhiana 133,Ludhiana,Punjab,,,
TH_135,PVR Cinemas,Kota 53,Kota,Rajasthan,,,
TH_136,Cinepolis,Ujjain 248,Ujjain,Madhya Pradesh,,,
TH_137,INOX,Udaipur 429,Udaipur,Rajasthan,,,
TH_138,Miraj Cinemas,Kolkata 153,Kolkata,West Bengal,,,
TH_139,Wave Cinemas,Ujjain 366,Ujjain,Madhya Pradesh,,,
TH_140,Miraj Cinemas,Patiala 389,Patiala,Punjab,,,
